FD_pccar_taxi-od_O,859,849
2025,10425.51966141482,19034.3087755609
2030,11821.46529376062,19577.43568187999
2035,11480.70676897453,19002.05467465245
2040,11025.32499421142,18215.42787218881
2045,10473.85830409246,17311.90821597028
2050,9779.281615084112,16208.01778060188
